1-OW-OS Lateral Force;1-OW-OS Axial Force;2-OW-RS Lateral Force;2-OW-RS Axial Force;3-UW-RS Lateral Force;3-UW-RS Axial Force;4-UW-OS Lateral Force;4-UW-OS Axial Force;X-Ist;Y-Ist;phi-Ist;X_opt-X-Ist;Y_Opt-Y_ist;phi_Opt-phi_ist
1.6389172733333333;494.22466073674997;3496.0448635400003;-517.7441845514167;4793.480225853334;314.413917491;2500.33216581;-359.3805968709833;-2.0;0.0;-3.5;2.0;0.0;0.0
-4.153102393333332;493.6294997884167;3490.450748873333;-532.2046608264167;4809.220270186667;312.993083621;2496.01783681;-349.08778127265003;-2.0;0.0;-3.5;2.0;0.0;0.0
-0.9839836599999984;503.54929474075;3509.09867734;-507.69496991475;4811.62151752;319.55052274499997;2490.46066441;-346.31167920265;-2.0;0.0;-3.5;2.0;0.0;0.0
-25.170613393333337;501.8748194434167;3529.01583654;-509.5023519764167;4823.77288452;324.268355911;2484.5261531433334;-349.47461516765;-2.0;0.0;-3.5;2.0;0.0;0.0
-16.531400459999997;493.91169969875;3515.1466541399996;-510.50613761474995;4814.81966232;317.995083561;2498.83600401;-343.89965609265;-2.0;0.0;-3.5;2.0;0.0;0.0
-1.6990803933333318;499.31362120508334;3496.176800206667;-506.97514060975004;4822.374355853333;319.548860951;2485.01431881;-338.53707641098333;-2.0;0.0;-3.5;2.0;0.0;0.0
-31.730504460000002;505.91656413075;3482.23109454;-512.4909923847499;4812.064824719999;319.091867601;2501.4166852099997;-357.23404800264996;-2.0;0.0;-3.5;2.0;0.0;0.0
-23.46863039333333;497.99624247675;3526.3771032066666;-502.5170261764167;4803.124796186667;320.246814431;2495.6088331433334;-343.6796917209833;-2.0;0.0;-3.5;2.0;0.0;0.0
-27.13910846;496.71229975675;3521.0679717400003;-513.0191511647499;4803.420334320001;317.825580573;2498.55102081;-346.94881738265;-2.0;0.0;-3.5;2.0;0.0;0.0
-13.15118306;503.39950142341667;3524.1341798733333;-508.37362555141664;4832.32238052;315.41099389100003;2508.4726581433333;-346.23582941931664;-2.0;0.0;-3.5;2.0;0.0;0.0
